Date,Close,Volume,ema
2022-06-16,299.35,179580,
2022-06-17,300.0,119185,
2022-06-20,279.85,114665,
2022-06-21,292.35,61349,
2022-06-22,277.75,67456,
2022-06-23,280.6,79021,
2022-06-24,284.8,90512,
2022-06-27,284.75,124442,
2022-06-28,269.95,164740,
2022-06-29,272.75,234683,284.21500000000003
2022-06-30,266.05,83785,280.88500000000005
2022-07-01,271.1,44044,277.995
2022-07-04,274.9,57269,277.50000000000006
2022-07-05,279.8,68697,276.245
2022-07-06,282.15,145469,276.685
2022-07-07,292.0,91106,277.825
2022-07-08,298.25,119840,279.16999999999996
2022-07-11,303.2,142945,281.015
2022-07-12,299.85,103935,284.005
2022-07-13,297.1,47579,286.44
2022-07-14,299.05,64954,289.73999999999995
2022-07-15,303.55,116831,292.985
2022-07-18,303.65,61672,295.86
2022-07-19,303.2,55753,298.2
2022-07-20,314.15,149636,301.4
2022-07-21,310.05,79010,303.20500000000004
2022-07-22,320.55,136232,305.435
2022-07-25,316.2,123644,306.735
2022-07-26,314.25,67008,308.175
2022-07-27,320.85,54746,310.55
2022-07-28,321.25,95749,312.77
2022-07-29,321.55,87004,314.57
2022-08-01,335.65,203093,317.77
2022-08-02,330.05,86969,320.45500000000004
2022-08-03,320.5,258318,321.09000000000003
2022-08-04,320.05,301597,322.09
2022-08-05,321.9,84873,322.225
2022-08-08,329.95,199582,323.6
2022-08-10,329.45,80321,325.12
2022-08-11,338.6,87975,326.895
2022-08-12,342.85,88949,329.055
2022-08-16,341.75,39296,331.075
2022-08-17,340.8,133043,331.59000000000003
2022-08-18,342.65,126890,332.85
2022-08-19,338.6,164410,334.65999999999997
2022-08-22,322.15,102474,334.87
2022-08-23,322.65,42839,334.94500000000005
2022-08-24,325.15,57330,334.465
2022-08-25,327.7,152769,334.29
2022-08-26,348.2,488507,335.25
2022-08-29,346.1,225077,335.57499999999993
2022-08-30,350.05,124168,336.40500000000003
2022-09-01,352.45,86373,337.57
2022-09-02,345.45,54293,337.85
2022-09-05,346.05,37859,338.59499999999997
2022-09-06,342.45,69563,340.625
2022-09-07,343.1,76814,342.66999999999996
2022-09-08,347.7,28772,344.925
2022-09-09,351.65,70345,347.32
2022-09-12,364.15,244936,348.915
2022-09-13,361.5,84159,350.45500000000004
2022-09-14,355.55,54153,351.005
2022-09-15,354.0,59216,351.16
2022-09-16,341.95,74352,350.81
2022-09-19,342.45,395382,350.45
2022-09-20,351.55,40188,351.36
2022-09-21,343.5,80126,351.4
2022-09-22,346.05,57700,351.235
2022-09-23,329.55,105917,349.025
2022-09-26,317.1,314516,344.32
2022-09-27,317.5,109942,339.91999999999996
2022-09-28,303.25,124043,334.68999999999994
2022-09-29,308.65,84558,330.155
2022-09-30,320.55,71394,328.015
2022-10-03,312.6,63591,325.03000000000003
2022-10-04,320.65,23509,321.94
2022-10-06,321.65,128402,319.755
2022-10-07,320.55,55104,317.205
2022-10-10,318.5,21686,316.1
2022-10-11,319.9,496735,316.38
2022-10-12,319.8,22797,316.61
2022-10-13,319.1,52340,318.19500000000005
2022-10-14,325.65,147905,319.895
2022-10-17,327.85,507283,320.625
2022-10-18,328.75,60081,322.24
2022-10-19,322.9,20771,322.465
2022-10-20,327.35,57137,323.035
2022-10-21,324.55,25423,323.435
2022-10-24,327.2,17672,324.305
2022-10-25,326.8,492887,324.995
2022-10-27,324.15,58840,325.42999999999995
2022-10-28,316.7,48714,325.18999999999994
2022-10-31,326.2,90406,325.245
2022-11-01,326.2,42156,325.08
2022-11-02,307.95,365243,323.0
2022-11-03,310.35,42864,321.745
2022-11-04,307.55,78068,319.765
2022-11-07,309.95,46075,318.305
2022-11-09,309.7,34971,316.55499999999995
2022-11-10,298.5,115935,313.725
2022-11-11,286.45,217487,309.95500000000004
2022-11-14,291.1,124416,307.39500000000004
2022-11-15,295.0,170372,304.275
2022-11-16,286.95,76417,300.35
2022-11-17,286.7,32122,298.225
2022-11-18,282.45,63826,295.435
2022-11-21,286.25,70015,293.305
2022-11-22,284.85,73927,290.79499999999996
2022-11-23,297.15,125434,289.54
2022-11-24,297.6,158023,289.45
2022-11-25,303.05,66919,291.11
2022-11-28,308.45,169301,292.84499999999997
2022-11-29,306.6,71227,294.005
2022-11-30,304.65,60920,295.775
2022-12-01,303.45,36842,297.45
2022-12-02,302.15,39067,299.41999999999996
2022-12-05,309.4,126725,301.735
2022-12-06,307.5,33654,304.0
2022-12-07,308.5,131493,305.135
2022-12-08,312.25,114043,306.6
2022-12-09,305.5,131355,306.84499999999997
2022-12-12,311.05,84848,307.105
2022-12-13,314.0,210871,307.84499999999997
2022-12-14,313.15,279843,308.695
2022-12-15,314.15,314585,309.765
2022-12-16,315.05,465610,311.055
2022-12-19,304.85,382856,310.6
2022-12-20,305.55,211587,310.40500000000003
2022-12-21,302.25,122680,309.78000000000003
2022-12-22,295.05,163795,308.06
2022-12-23,276.85,254198,305.19500000000005
2022-12-26,289.1,65454,303.0
2022-12-27,295.25,96021,301.125
2022-12-28,303.55,180241,300.1650000000001
2022-12-29,304.35,160179,299.18500000000006
2022-12-30,310.25,161285,298.70500000000004
2023-01-02,314.2,109694,299.64
2023-01-03,314.4,74590,300.525
2023-01-04,316.5,162918,301.95
2023-01-05,317.8,157004,304.225
2023-01-06,313.55,108494,307.895
2023-01-09,313.9,62098,310.375
2023-01-10,308.8,42475,311.73
2023-01-11,308.55,54531,312.22999999999996
2023-01-12,307.2,14053,312.515
2023-01-13,306.8,26328,312.16999999999996
2023-01-16,300.0,129310,310.75
2023-01-17,302.8,39405,309.59000000000003
2023-01-18,306.2,51139,308.56
2023-01-19,308.8,36290,307.66
2023-01-20,303.7,21092,306.675
2023-01-23,305.05,37659,305.79
2023-01-24,299.45,43553,304.855
2023-01-25,295.6,40266,303.56
2023-01-27,291.05,91501,301.945
2023-01-30,289.95,30827,300.26
2023-01-31,312.3,218542,301.49
2023-02-01,297.15,190905,300.925
2023-02-02,296.75,55911,299.98
2023-02-03,293.7,92148,298.46999999999997
2023-02-06,294.05,50321,297.505
2023-02-07,290.1,94466,296.01
2023-02-08,296.05,164771,295.67
2023-02-09,296.6,27421,295.77000000000004
2023-02-10,298.1,28844,296.475
2023-02-13,301.5,30075,297.63
2023-02-14,300.9,43838,296.49
2023-02-15,303.55,45151,297.13
2023-02-16,300.9,120334,297.54499999999996
2023-02-17,293.35,112778,297.51000000000005
2023-02-20,291.1,71943,297.21500000000003
2023-02-21,286.6,37954,296.865
2023-02-22,280.1,33693,295.27
2023-02-23,277.35,62963,293.34499999999997
2023-02-24,274.3,41370,290.96500000000003
2023-02-27,271.1,89056,287.925
2023-02-28,274.5,44550,285.28499999999997
2023-03-01,281.8,112107,283.11
2023-03-02,279.85,57707,281.005
2023-03-03,282.95,54926,279.96500000000003
2023-03-06,290.15,102559,279.87
2023-03-08,292.45,75873,280.45500000000004
2023-03-09,290.05,45815,281.45
2023-03-10,286.35,18683,282.35
2023-03-13,274.6,160220,282.38
2023-03-14,276.65,34281,282.93500000000006
2023-03-15,276.95,14172,283.18
2023-03-16,276.05,57313,282.605
2023-03-17,274.4,60084,282.06
2023-03-20,269.35,66834,280.7
2023-03-21,269.85,20541,278.67
2023-03-22,270.35,38408,276.46
2023-03-23,268.65,38915,274.32000000000005
2023-03-24,261.65,62236,271.85
2023-03-27,254.75,35523,269.865
2023-03-28,250.9,32211,267.28999999999996
2023-03-29,259.05,52561,265.5
2023-03-31,264.05,161407,264.3
2023-04-03,271.9,143529,264.05
2023-04-05,272.5,75256,264.36499999999995
2023-04-06,272.55,19444,264.635
2023-04-10,278.2,51387,265.41999999999996
2023-04-11,279.2,17487,266.475
2023-04-12,285.0,161687,268.81
2023-04-13,289.55,49537,272.28999999999996
2023-04-17,284.95,61759,275.69500000000005
2023-04-18,283.85,21462,278.175
2023-04-19,281.9,35788,279.96
2023-04-20,276.6,31820,280.43
2023-04-21,277.3,26524,280.91
2023-04-24,275.0,42364,281.15500000000003
2023-04-25,275.05,54780,280.84000000000003
2023-04-26,283.15,89918,281.235
2023-04-27,284.9,33805,281.225
2023-04-28,285.65,64832,280.83500000000004
2023-05-02,288.1,79022,281.15
2023-05-03,293.55,151574,282.12
2023-05-04,301.6,114747,284.09000000000003
2023-05-05,300.1,164549,286.44
2023-05-08,300.75,19868,288.78499999999997
2023-05-09,300.4,311665,291.325
2023-05-10,296.85,70150,293.505
2023-05-11,295.05,95059,294.695
2023-05-12,289.9,49983,295.195
2023-05-15,291.95,31676,295.82500000000005
2023-05-16,295.45,136466,296.56
2023-05-17,301.45,70144,297.35
2023-05-18,295.1,336051,296.7
2023-05-19,290.6,203415,295.75
2023-05-22,292.25,70763,294.9
2023-05-23,291.35,24537,293.995
2023-05-24,289.05,43051,293.21500000000003
2023-05-25,285.0,92702,292.21000000000004
2023-05-26,286.35,114650,291.855
2023-05-29,285.8,140643,291.24
2023-05-30,279.9,130167,289.685
2023-05-31,280.3,39568,287.57000000000005
2023-06-01,280.3,64775,286.09000000000003
2023-06-02,280.85,57646,285.115
2023-06-05,281.45,92271,284.03499999999997
2023-06-06,278.95,38632,282.795
2023-06-07,281.0,30375,281.99
2023-06-08,279.0,72776,281.39
2023-06-09,274.65,96958,280.21999999999997
2023-06-12,278.45,54111,279.485
2023-06-13,279.85,45119,279.48
2023-06-14,279.1,142468,279.36
2023-06-15,277.0,94767,279.03
2023-06-16,278.35,30907,278.78000000000003
